Year,LicensedÂ Importer,Military,Other,Total,
1986,"7,728","9,434","2,631","19,793",
1987,"7,833","8,059","2,130","18,022",
1988,"7,711","7,680","2,122","17,513",
1989,"7,950","8,293","2,194","18,437",
1990,"8,292","8,696","2,260","19,248",
1991,"8,098","10,973","2,412","21,483",
1992,"7,960","9,222","2,623","19,805",
1993,"7,591","6,282","2,585","16,458",
1994,"6,704","4,570","3,024","14,298",
1995,"5,267","2,834","2,548","10,649",
1996,"6,340","2,792","2,395","11,527",
1997,"8,288","2,069","1,395","11,752",
1998,"8,767","2,715","1,536","13,019",
1999,"9,505","2,235","1,036","12,776",
2000,"7,834","2,885","1,416","12,135",
2001,"9,639","3,984","1,569","15,192",
2002,"9,646","6,321","3,199","19,166",
2003,"8,160","2,264","2,081","12,505",
2004,"7,539","1,392","1,819","10,750",
2005,"7,539","1,320","1,746","10,605",
2006,"8,537","1,180","1,505","11,222",
2007,"8,004","1,081","1,236","10,321",
2008,"7,610",718,980,"9,308",
2009,"7,967",504,970,"9,441",
2010,"7,367",823,"1,088","9,278",
2011,"7,647",641,959,"9,247",