Year	LicensedÂ Importer	Military	Other	Total
1986	7728	9434	2631	19793
1987	7833	8059	2130	18022
1988	7711	7680	2122	17513
1989	7950	8293	2194	18437
1990	8292	8696	2260	19248
1991	8098	10973	2412	21483
1992	7960	9222	2623	19805
1993	7591	6282	2585	16458
1994	6704	4570	3024	14298
1995	5267	2834	2548	10649
1996	6340	2792	2395	11527
1997	8288	2069	1395	11752
1998	8767	2715	1536	13019
1999	9505	2235	1036	12776
2000	7834	2885	1416	12135
2001	9639	3984	1569	15192
2002	9646	6321	3199	19166
2003	8160	2264	2081	12505
2004	7539	1392	1819	10750
2005	7539	1320	1746	10605
2006	8537	1180	1505	11222
2007	8004	1081	1236	10321
2008	7610	718	980	9308
2009	7967	504	970	9441
2010	7367	823	1088	9278
2011	7647	641	959	9247
