Country	Handguns	Rifles	Shotguns	TotalÂ Firearms
Brazil	359846	381097	105676	846619
Austria	515396	7191	51	522638
Germany	265092	46288	2148	313528
Italy	104911	12222	137768	254901
Russia	16900	148556	50837	216293
Croatia	211001	0	0	211001
Canada	2	194995	13	195010
Turkey	22899	1153	122682	146734
China	0	1450	90952	92402
Argentina	71838	0	0	71838
Japan	0	59471	1834	61305
Philippines	54247	1430	950	56627
Romania	13775	38048	1	51824
Czech Republic	20003	20236	6	40245
Belgium	9769	16317	114	26200
Finland	0	23417	6	23423
Poland	20895	1081	11	21987
Ukraine	0	20600	0	20600
Costa Rica	19500	0	0	19500
United Kingdom	4376	4046	8254	16676
Spain	322	10015	1328	11665
Israel	9995	157	0	10152
Serbia	720	7562	0	8282
Mexico	0	0	4284	4284
Other	1348	2246	16	3610
Portugal	0	0	2115	2115
Switzerland	991	494	10	1495
Bulgaria	1450	0	0	1450
Totals	1725276	998072	529056	3252404
