Fiscal Year,Licensees,Inspections,Percent Inspected,
1969,"86,598","47,454",54.7,
1970,"138,928","21,295",15.3,
1971,"149,212","32,684",21.9,
1972,"150,215","31,164",20.7,
1973,"152,232","16,003",10.5,
1974,"158,753","15,751",10.0,
1975,"161,927","10,944",6.7,
1976,"165,697","15,171",9.1,
1977,"173,484","19,741",11.3,
1978,"169,052","22,130",13.1,
1979,"171,216","14,744",8.6,
1980,"174,619","11,515",6.5,
1981,"190,296","11,035",5.7,
1982,"211,918","1,829",0.8,
1983,"230,613","2,662",1.1,
1984,"222,443","8,861",3.9,
1985,"248,794","9,527",3.8,
1986,"267,166","8,605",3.2,
1987,"262,022","8,049",3.1,
1988,"272,953","9,283",3.4,
1989,"264,063","7,142",2.7,
1990,"269,079","8,471",3.1,
1991,"276,116","8,258",3.0,
1992,"284,117","16,328",5.7,
1993,"283,925","22,330",7.9,
1994,"250,833","20,067",8.0,
1995,"187,931","13,141",7.0,
1996,"135,794","10,051",7.4,
1997,"107,554","5,925",5.5,
1998,"105,536","5,043",4.8,
1999,"103,942","9,004",8.7,
2000,"103,658","3,640",3.5,
2001,"102,913","3,677",3.6,
2002,"103,411","5,467",5.2,
2003,"104,105","5,170",4.9,
2004,"106,214","4,509",4.2,
2005,"106,432","5,189",4.9,
2006,"107,316","7,294",6.8,
2007,"108,933","10,141",9.3,
2008,"112,943","11,100",9.8,
2009,"115,395","11,375",9.9,
2010,"118,487","10,538",8.9,
2011,"123,587","13,159",9.4,